s,A(s) (GHz),B(s) (GHz),C(normalized)
0.0,11.314816176230897,0.5582157198300585,0.0
0.001,11.296512382707652,0.559122242110776,0.001
0.002,11.278208589184407,0.5600287643914935,0.002
0.003,11.259904795661162,0.560935286672211,0.003
0.004,11.241601002137916,0.5618418089529287,0.004
0.005,11.22329553104833,0.5627486565745603,0.005
0.006,11.20488941171779,0.5636750235379445,0.006
0.007,11.18648329238725,0.5646013905013287,0.007
0.008,11.168077173056709,0.565527757464713,0.008
0.009,11.149671053726168,0.5664541244280972,0.009
0.01,11.131261592489704,0.5673811520923251,0.01
0.011,11.11275355074532,0.5683276693012048,0.011
0.012,11.094245509000935,0.5692741865100845,0.012
0.013,11.07573746725655,0.5702207037189644,0.013
0.014,11.057229425512165,0.5711672209278441,0.014
0.015,11.038698177550732,0.5721184153123297,0.015
0.016,11.020089021939535,0.5730853118579305,0.016
0.017,11.001479866328339,0.5740522084035313,0.017
0.018,10.98287071071714,0.5750191049491321,0.018
0.019,10.964261555105944,0.575986001494733,0.019
0.02,10.945605741292498,0.5769624843954412,0.02
0.021,10.92689512315876,0.5779502273458396,0.021
0.022,10.90818450502502,0.5789379702962378,0.022
0.023,10.88947388689128,0.5799257132466361,0.023
0.024,10.870763268757539,0.5809134561970345,0.024
0.025,10.851976595901073,0.5819171282280013,0.025
0.026,10.83316540169934,0.5829259360673753,0.026
0.027,10.814354207497608,0.5839347439067493,0.027
0.028,10.795543013295877,0.5849435517461232,0.028
0.029,10.776712045729473,0.5859565813689034,0.029
0.03,10.75780049730929,0.5869868156969533,0.03
0.031,10.738888948889107,0.5880170500250033,0.031
0.032,10.719977400468924,0.5890472843530532,0.032
0.033,10.701065852048739,0.590077518681103,0.033
0.034,10.6820904739533,0.5911216444816304,0.034
0.035,10.663078860256695,0.5921736563610749,0.035
0.036,10.644067246560088,0.5932256682405194,0.036
0.037,10.625055632863482,0.5942776801199638,0.037
0.038,10.606021796036867,0.59533462192387,0.038
0.039,10.58691127328898,0.5964085755437976,0.039
0.04,10.567800750541094,0.5974825291637251,0.04
0.041,10.548690227793209,0.5985564827836527,0.041
0.042,10.529579705045322,0.5996304364035803,0.042
0.043,10.510381328246297,0.6007242557607332,0.043
0.044,10.491171449468021,0.6018206759688929,0.044
0.045,10.471961570689746,0.6029170961770525,0.045
0.046,10.45275169191147,0.6040135163852122,0.046
0.047,10.433488206617467,0.6051222915752544,0.047
0.048,10.414179747843932,0.6062414320449135,0.048
0.049,10.394871289070396,0.6073605725145728,0.049
0.05,10.37556283029686,0.608479712984232,0.05
0.051,10.356217408993382,0.609607536495637,0.051
0.052,10.336811461016074,0.6107495786126528,0.052
0.053,10.317405513038766,0.6118916207296685,0.053
0.054,10.29799956506146,0.6130336628466843,0.054
0.055,10.27857032036445,0.6141812831647995,0.055
0.056,10.25906594676203,0.6153468924593939,0.056
0.057,10.23956157315961,0.6165125017539882,0.057
0.058,10.220057199557193,0.6176781110485826,0.058
0.059,10.200543677390066,0.6188459529629505,0.059
0.06,10.18094222899169,0.6200352524336435,0.06
0.061,10.161340780593314,0.6212245519043366,0.061
0.062,10.141739332194938,0.6224138513750297,0.062
0.063,10.122122305212052,0.6236070255194306,0.063
0.064,10.102425265072089,0.6248201003727734,0.064
0.065,10.082728224932126,0.626033175226116,0.065
0.066,10.063031184792163,0.6272462500794587,0.066
0.067,10.043311244191084,0.628465129614483,0.067
0.068,10.023517566114137,0.6297026997153136,0.068
0.069,10.003723888037188,0.6309402698161443,0.069
0.07,9.98393020996024,0.6321778399169748,0.07
0.071,9.964106756477186,0.6334231018501545,0.071
0.072,9.944217329391574,0.6346854066370421,0.072
0.073,9.924327902305961,0.6359477114239296,0.073
0.074,9.90443847522035,0.6372100162108171,0.074
0.075,9.88449747503707,0.6384858989695695,0.075
0.076,9.864513456438814,0.6397731074553901,0.076
0.077,9.844529437840558,0.6410603159412106,0.077
0.078,9.824545419242302,0.6423475244270311,0.078
0.079,9.804485379903323,0.6436551307625044,0.079
0.08,9.784405944313912,0.6449679414908367,0.08
0.081,9.764326508724501,0.646280752219169,0.081
0.082,9.74424250984799,0.6475948108480872,0.082
0.083,9.724068446073968,0.6489334990994484,0.083
0.084,9.703894382299946,0.6502721873508097,0.084
0.085,9.683720318525925,0.6516108756021709,0.085
0.086,9.66350521233932,0.6529610020161183,0.086
0.087,9.643238210039454,0.6543255914244096,0.087
0.088,9.622971207739589,0.6556901808327009,0.088
0.089,9.602704205439721,0.6570547702409923,0.089
0.09,9.58235342430851,0.658443152613094,0.09
0.091,9.561993377210761,0.6598341664948855,0.091
